cbsacode,statename,fipsstatecode,cbsatitle
16740,North Carolina,37,"Charlotte-Concord-Gastonia, NC-SC"
20500,North Carolina,37,"Durham-Chapel Hill, NC"
35100,North Carolina,37,"New Bern, NC"
22180,North Carolina,37,"Fayetteville, NC"
47260,North Carolina,37,"Virginia Beach-Norfolk-Newport News, VA-NC"
49180,North Carolina,37,"Winston-Salem, NC"
40580,North Carolina,37,"Rocky Mount, NC"
39580,North Carolina,37,"Raleigh, NC"
24660,North Carolina,37,"Greensboro-High Point, NC"
48900,North Carolina,37,"Wilmington, NC"
27340,North Carolina,37,"Jacksonville, NC"
24780,North Carolina,37,"Greenville, NC"
24140,North Carolina,37,"Goldsboro, NC"
13900,North Dakota,38,"Bismarck, ND"
22020,North Dakota,38,"Fargo, ND-MN"
24220,North Dakota,38,"Grand Forks, ND-MN"
30620,Ohio,39,"Lima, OH"
48540,Ohio,39,"Wheeling, WV-OH"
17140,Ohio,39,"Cincinnati, OH-KY-IN"
15940,Ohio,39,"Canton-Massillon, OH"
44220,Ohio,39,"Springfield, OH"
17460,Ohio,39,"Cleveland-Elyria, OH"
18140,Ohio,39,"Columbus, OH"
45780,Ohio,39,"Toledo, OH"
19380,Ohio,39,"Dayton, OH"
48260,Ohio,39,"Weirton-Steubenville, WV-OH"
26580,Ohio,39,"Huntington-Ashland, WV-KY-OH"
49660,Ohio,39,"Youngstown-Warren-Boardman, OH-PA"
10420,Ohio,39,"Akron, OH"
31900,Ohio,39,"Mansfield, OH"
36420,Oklahoma,40,"Oklahoma City, OK"
30020,Oklahoma,40,"Lawton, OK"
46140,Oklahoma,40,"Tulsa, OK"
22900,Oklahoma,40,"Fort Smith, AR-OK"
18700,Oregon,41,"Corvallis, OR"
38900,Oregon,41,"Portland-Vancouver-Hillsboro, OR-WA"
13460,Oregon,41,"Bend-Redmond, OR"
32780,Oregon,41,"Medford, OR"
24420,Oregon,41,"Grants Pass, OR"
21660,Oregon,41,"Eugene, OR"
10540,Oregon,41,"Albany, OR"
41420,Oregon,41,"Salem, OR"
23900,Pennsylvania,42,"Gettysburg, PA"
38300,Pennsylvania,42,"Pittsburgh, PA"
39740,Pennsylvania,42,"Reading, PA"
11020,Pennsylvania,42,"Altoona, PA"
